reference,kubersinfo,_fullylabeledrs,int8,DEFAULT 0
reference,kubersinfo,_readyrs,int8,DEFAULT 0
reference,kubersinfo,_availablers,int8,DEFAULT 0
reference,kubersinfo,_observedgen,int8,DEFAULT 0
reference,kubersinfo,_refkind,text,NULL,
reference,kubersinfo,_refid,int8,NULL,
reference,kubersinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubersinfo,_createdtime,int8,NOT NULL,
reference,kubersinfo,_updatetime,int8,NOT NULL,
reference,kubepvcinfo,_pvcid,serial,NOT NULL,PRIMARY KEY
reference,kubepvcinfo,_nsid,int8,NOT NULL,
reference,kubepvcinfo,_starttime,int8,NOT NULL,
reference,kubepvcinfo,_pvcname,text,NOT NULL,
reference,kubepvcinfo,_pvcuid,text,NOT NULL,
reference,kubepvcinfo,_pvcaccessmodes,text,NULL
reference,kubepvcinfo,_pvcreqstorage,text,NULL
reference,kubepvcinfo,_pvcstatus,text,NULL
reference,kubepvcinfo,_pvcscid,int8,NULL,DEFAULT 0
reference,kubepvcinfo,_pvname,text,NOT NULL,
reference,kubepvcinfo,_pvuid,text,NOT NULL,
reference,kubepvcinfo,_pvaccessmodes,text,NULL
reference,kubepvcinfo,_pvcapacity,text,NULL
reference,kubepvcinfo,_pvreclaimpolicy,text,NULL
reference,kubepvcinfo,_pvstatus,text,NULL
reference,kubepvcinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubepvcinfo,_createdtime,int8,NOT NULL,
reference,kubepvcinfo,_updatetime,int8,NOT NULL,
reference,kubeeventinfo,_eventid,serial,NOT NULL,PRIMARY KEY
reference,kubeeventinfo,_nsid,int8,NOT NULL,
reference,kubeeventinfo,_eventname,text,NOT NULL,
reference,kubeeventinfo,_uid,text,NOT NULL,
reference,kubeeventinfo,_firsttime,int8,NOT NULL,
reference,kubeeventinfo,_lasttime,int8,NULL,DEFAULT 0
reference,kubeeventinfo,_eventtype,text,NOT NULL,
reference,kubeeventinfo,_eventcount,int8,NULL,DEFAULT 0
reference,kubeeventinfo,_objkind,text,NOT NULL,
reference,kubeeventinfo,_objkinduid,text,NOT NULL,
reference,kubeeventinfo,_srccomponent,text,NOT NULL,
reference,kubeeventinfo,_srchost,text,NOT NULL,
reference,kubeeventinfo,_reason,text,NOT NULL,
reference,kubeeventinfo,_message,text,NULL
reference,kubeeventinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubeeventinfo,_createdtime,int8,NOT NULL,
reference,kubeeventinfo,_updatetime,int8,NOT NULL,
reference,kubeselectorinfo,_selectorid,serial,NOT NULL,PRIMARY KEY
reference,kubeselectorinfo,_kind,text,NOT NULL,
reference,kubeselectorinfo,_kinduid,text,NOT NULL,
reference,kubeselectorinfo,_lbvalueid,int8,NOT NULL,
reference,kubeselectorinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubeselectorinfo,_createdtime,int8,NOT NULL,
reference,kubeselectorinfo,_updatetime,int8,NOT NULL,
reference,kubelabelinfo,_labelid,serial,NOT NULL,PRIMARY KEY
reference,kubelabelinfo,_kind,text,NOT NULL,
reference,kubelabelinfo,_kinduid,text,NOT NULL,
reference,kubelabelinfo,_lbvalueid,int8,NOT NULL,
reference,kubelabelinfo,_enabled,int8,NOT NULL,DEFAULT 0
reference,kubelabelinfo,_createdtime,int8,NOT NULL,
reference,kubelabelinfo,_updatetime,int8,NOT NULL,
reference,kubelabelvalueinfo,_lbvalueid,serial,NOT NULL,PRIMARY KEY
reference,kubelabelvalueinfo,_keyvalue,text,NOT NULL,
